100
0.0, 62.5, 10.1
60.0, 122.3, 5.5
30.0, 160.7, 7.8
12.5, 70.0, 3.5
25.0, 90.2, 6.1
10.0, 55.5, 2.5
0.0, 100.0, 8.0
20.0, 80.0, 4.0
5.0, 60.0, 2.8
0.0, 75.0, 5.5
15.0, 95.0, 6.3
30.0, 120.0, 7.2
50.0, 150.0, 5.5
0.0, 40.0, 3.0
10.0, 50.0, 2.5
20.0, 60.0, 3.1
35.0, 105.0, 6.0
5.0, 65.0, 4.2
12.0, 72.0, 3.8
25.0, 85.0, 5.0
0.0, 50.0, 2.5
10.0, 60.0, 3.0
5.0, 55.0, 2.7
20.0, 80.0, 4.5
30.0, 100.0, 5.5
15.0, 75.0, 4.0
0.0, 65.0, 3.2
40.0, 130.0, 6.5
50.0, 140.0, 7.0
5.0, 60.0, 3.0
10.0, 70.0, 3.5
0.0, 55.0, 2.8
15.0, 80.0, 4.2
20.0, 90.0, 4.8
30.0, 120.0, 6.0
35.0, 130.0, 6.5
5.0, 60.0, 3.2
0.0, 50.0, 2.5
10.0, 65.0, 3.0
20.0, 90.0, 4.5
25.0, 95.0, 5.0
0.0, 60.0, 3.2
15.0, 75.0, 4.0
5.0, 55.0, 2.7
0.0, 45.0, 2.0
12.0, 70.0, 3.5
20.0, 85.0, 4.2
30.0, 100.0, 5.0
10.0, 65.0, 3.2
0.0, 60.0, 4.0
25.0, 90.0, 5.5
30.0, 120.0, 6.0
40.0, 140.0, 7.0
0.0, 50.0, 2.5
15.0, 75.0, 4.0
10.0, 60.0, 3.0
5.0, 55.0, 2.7
0.0, 65.0, 3.2
20.0, 90.0, 4.5
25.0, 95.0, 5.0
30.0, 105.0, 5.5
0.0, 40.0, 3.0
12.0, 72.0, 3.8
5.0, 60.0, 2.8
15.0, 80.0, 4.2
20.0, 85.0, 4.5
30.0, 110.0, 5.8
35.0, 125.0, 6.2
0.0, 50.0, 2.5
10.0, 60.0, 3.0
25.0, 90.0, 5.0
30.0, 120.0, 6.0
5.0, 55.0, 2.7
0.0, 45.0, 2.0
15.0, 75.0, 4.0
20.0, 85.0, 4.5
0.0, 60.0, 3.2
12.0, 70.0, 3.5
30.0, 100.0, 5.0
35.0, 130.0, 6.5
5.0, 60.0, 3.0
0.0, 50.0, 2.5
10.0, 65.0, 3.0
20.0, 90.0, 4.5
25.0, 95.0, 5.0
0.0, 60.0, 3.2
15.0, 75.0, 4.0
5.0, 55.0, 2.7
0.0, 45.0, 2.0
10.0, 70.0, 3.5
20.0, 85.0, 4.2
30.0, 110.0, 5.8
35.0, 125.0, 6.2
0.0, 50.0, 2.5
15.0, 75.0, 4.0
10.0, 60.0, 3.0
5.0, 55.0, 2.7
